"AGS";"leitungsg. Technologien ≥ 1 Mbit/s";"leitungsg. Technologien ≥ 2 Mbit/s";"leitungsg. Technologien ≥ 6 Mbit/s";"leitungsg. Technologien ≥ 16 Mbit/s";"leitungsg. Technologien ≥ 30 Mbit/s";"leitungsg. Technologien ≥ 50 Mbit/s";"leitungsg. Technologien ≥ 100 Mbit/s";"leitungsg. Technologien ≥ 200 Mbit/s";"leitungsg. Technologien ≥ 400 Mbit/s";"leitungsg. Technologien ≥ 1000 Mbit/s";"DSL ≥ 1 Mbit/s";"DSL ≥ 2 Mbit/s";"DSL ≥ 6 Mbit/s";"DSL ≥ 16 Mbit/s";"DSL ≥ 30 Mbit/s";"DSL ≥ 50 Mbit/s";"DSL ≥ 100 Mbit/s";"DSL ≥ 200 Mbit/s";"CATV ≥ 1 Mbit/s";"CATV ≥ 2 Mbit/s";"CATV ≥ 6 Mbit/s";"CATV ≥ 16 Mbit/s";"CATV ≥ 30 Mbit/s";"CATV ≥ 50 Mbit/s";"CATV ≥ 100 Mbit/s";"CATV ≥ 200 Mbit/s";"CATV ≥ 400 Mbit/s";"CATV ≥ 1000 Mbit/s";"FTTH/B ≥ 100 Mbit/s";"FTTH/B ≥ 200 Mbit/s";"FTTH/B ≥ 400 Mbit/s";"FTTH/B ≥ 1000 Mbit/s"
"08119044";99.58;99.36;95.83;85.65;75.25;73.65;26.63;26.63;26.63;0.00;99.58;99.36;95.80;85.61;71.35;67.17;0.00;0.00;26.63;26.63;26.63;26.63;26.63;26.63;26.63;26.63;26.63;0.00;0.00;0.00;0.00;0.00
"08119053";99.99;99.99;99.54;98.55;98.28;97.17;56.56;55.64;26.21;2.92;99.84;99.84;99.09;97.65;97.36;96.26;43.62;43.62;26.05;26.05;26.05;26.05;26.05;26.05;26.05;26.05;26.05;0.00;2.92;2.92;2.92;2.92
"08119055";99.25;98.75;97.87;97.67;97.67;97.17;77.06;76.66;68.14;0.78;99.13;98.29;96.59;96.40;96.40;95.89;54.01;54.01;68.14;68.14;68.14;68.14;68.14;68.14;68.14;68.14;68.14;0.00;0.78;0.78;0.78;0.78
"08119061";97.53;97.45;92.66;90.71;87.01;79.28;40.21;40.03;34.98;0.00;96.47;96.39;91.56;88.49;84.61;76.88;16.14;15.96;34.98;34.98;34.98;34.98;34.98;34.98;34.98;34.98;34.98;0.00;0.00;0.00;0.00;0.00
"08119067";97.57;96.49;88.59;72.97;71.72;70.05;67.18;67.18;65.36;0.41;95.49;93.24;61.10;16.70;15.23;12.37;4.08;4.08;65.36;65.36;65.36;65.36;65.36;65.36;65.36;65.36;65.36;0.00;0.41;0.41;0.41;0.41
"08119068";100.00;100.00;100.00;98.82;97.96;97.53;87.60;87.60;80.43;0.00;99.99;99.99;99.99;98.31;81.94;54.17;7.60;7.60;80.43;80.43;80.43;80.43;80.43;80.43;80.43;80.43;80.43;0.00;0.00;0.00;0.00;0.00
"08119069";89.16;88.24;74.70;53.02;51.99;51.24;50.47;50.47;50.47;0.00;89.15;88.23;74.70;52.61;48.27;38.48;0.00;0.00;50.47;50.47;50.47;50.47;50.47;50.47;50.47;50.47;50.47;0.00;0.00;0.00;0.00;0.00
"08119075";97.54;97.28;94.74;62.36;59.99;59.88;43.95;43.95;42.06;0.00;97.48;96.83;93.96;48.27;45.75;45.30;16.96;16.96;42.06;42.06;42.06;42.06;42.06;42.06;42.06;42.06;42.06;0.00;0.00;0.00;0.00;0.00
"08119076";100.00;100.00;100.00;99.03;93.64;92.83;81.55;81.55;81.49;0.00;99.99;99.99;99.83;97.50;78.48;69.04;28.13;28.13;81.49;81.49;81.49;81.49;81.49;81.49;81.49;81.49;81.49;0.00;0.00;0.00;0.00;0.00
"08119079";99.85;99.79;97.47;95.10;92.28;90.28;84.09;84.03;70.04;0.07;99.67;99.59;96.89;93.22;84.17;75.70;55.16;55.16;70.04;70.04;70.04;70.04;70.04;70.04;70.04;70.04;70.04;0.00;0.07;0.07;0.07;0.07
"08119083";99.99;99.99;99.80;99.59;97.22;96.38;90.78;90.78;79.91;0.00;99.99;99.88;99.67;99.13;84.69;78.39;49.41;49.41;79.91;79.91;79.91;79.91;79.91;79.91;79.91;79.91;79.91;0.00;0.00;0.00;0.00;0.00
"08119084";99.63;99.43;98.92;96.28;89.16;85.44;65.79;61.95;60.26;4.16;99.63;99.43;97.00;94.36;76.83;55.53;9.28;9.28;60.26;60.26;60.26;60.26;60.26;60.26;60.26;60.26;60.26;0.00;4.16;4.16;4.16;4.16
"08119085";99.21;98.03;85.64;84.29;82.10;80.93;59.14;59.14;58.29;0.00;99.14;97.88;83.23;80.55;76.04;74.47;9.78;9.78;58.29;58.29;58.29;58.29;58.29;58.29;58.29;58.29;58.29;0.00;0.00;0.00;0.00;0.00
"08119086";94.40;87.84;65.73;65.73;65.73;65.73;64.63;64.63;64.63;0.00;88.63;73.39;2.98;2.98;2.98;2.98;0.00;0.00;64.63;64.63;64.63;64.63;64.63;64.63;64.63;64.63;64.63;0.00;0.00;0.00;0.00;0.00
"08119087";89.80;77.79;64.44;61.83;60.89;59.28;47.73;47.73;36.60;0.00;89.80;77.79;64.44;61.70;60.47;54.10;22.19;22.19;36.60;36.60;36.60;36.60;36.60;36.60;36.60;36.60;36.60;0.00;0.00;0.00;0.00;0.00
"08119089";94.26;93.78;92.94;90.87;75.03;58.97;9.74;9.74;9.74;0.00;93.92;93.44;92.61;90.53;74.69;58.62;6.71;6.71;9.74;9.74;9.74;9.74;9.74;9.74;9.74;9.74;9.74;0.00;0.00;0.00;0.00;0.00
"08119090";99.99;99.95;99.71;99.11;94.54;92.08;80.34;80.34;67.82;0.13;99.99;99.94;99.62;97.98;86.18;78.28;54.77;54.77;67.82;67.82;67.82;67.82;67.82;67.82;67.82;67.82;67.82;0.00;0.13;0.13;0.13;0.13
"08315051";100.00;100.00;99.76;99.76;94.46;91.61;0.00;0.00;0.00;0.00;100.00;100.00;99.76;99.76;94.46;91.61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"08119091";99.82;99.80;99.25;96.62;91.67;89.53;80.05;80.05;74.59;0.00;99.82;99.79;99.10;95.43;83.31;75.14;43.01;43.01;74.59;74.59;74.59;74.59;74.59;74.59;74.59;74.59;74.59;0.00;0.00;0.00;0.00;0.00
"08119093";99.97;99.97;98.16;96.73;95.67;95.49;86.49;86.49;76.94;0.00;99.97;99.97;96.91;92.15;87.53;85.84;66.36;66.36;76.94;76.94;76.94;76.94;76.94;76.94;76.94;76.94;76.94;0.00;0.00;0.00;0.00;0.00
