"AGS","leitungsg. Technologien ≥ 1 Mbit/s","leitungsg. Technologien ≥ 2 Mbit/s","leitungsg. Technologien ≥ 6 Mbit/s","leitungsg. Technologien ≥ 8 Mbit/s","leitungsg. Technologien ≥ 10 Mbit/s","leitungsg. Technologien ≥ 16 Mbit/s","leitungsg. Technologien ≥ 30 Mbit/s","leitungsg. Technologien ≥ 50 Mbit/s","leitungsg. Technologien ≥ 100 Mbit/s","leitungsg. Technologien ≥ 200 Mbit/s","leitungsg. Technologien ≥ 400 Mbit/s","leitungsg. Technologien ≥ 1000 Mbit/s","DSL ≥ 1 Mbit/s","DSL ≥ 2 Mbit/s","DSL ≥ 6 Mbit/s","DSL ≥ 8 Mbit/s","DSL ≥ 10 Mbit/s","DSL ≥ 16 Mbit/s","DSL ≥ 30 Mbit/s","DSL ≥ 50 Mbit/s","DSL ≥ 100 Mbit/s","DSL ≥ 200 Mbit/s","CATV ≥ 1 Mbit/s","CATV ≥ 2 Mbit/s","CATV ≥ 6 Mbit/s","CATV ≥ 8 Mbit/s","CATV ≥ 10 Mbit/s","CATV ≥ 16 Mbit/s","CATV ≥ 30 Mbit/s","CATV ≥ 50 Mbit/s","CATV ≥ 100 Mbit/s","CATV ≥ 200 Mbit/s","CATV ≥ 400 Mbit/s","CATV ≥ 1000 Mbit/s","FTTH/B ≥ 100 Mbit/s","FTTH/B ≥ 200 Mbit/s","FTTH/B ≥ 400 Mbit/s","FTTH/B ≥ 1000 Mbit/s"
"06439007",99.80,99.80,99.80,99.80,99.80,99.80,99.60,99.60,97.13,81.19,15.01,7.83,99.80,99.80,99.80,99.80,99.80,99.80,99.60,99.60,97.07,80.00,14.40,14.40,14.40,14.40,14.40,14.40,14.40,14.40,14.40,14.40,14.40,7.21,0.61,0.61,0.61,0.61
"06439008",100.00,99.74,98.96,98.41,98.39,97.35,95.01,94.93,90.67,83.31,68.77,24.87,99.92,99.66,97.51,97.51,97.48,97.28,94.73,94.28,86.73,66.89,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,23.68,1.50,1.50,1.50,1.50
"06439009",100.00,100.00,100.00,100.00,100.00,100.00,98.94,98.94,98.23,98.23,98.23,0.53,99.47,99.47,99.47,99.47,98.95,96.28,93.09,92.42,87.91,84.28,98.23,98.23,98.23,98.23,98.23,98.23,98.23,98.23,98.23,98.23,98.23,0.00,0.53,0.53,0.53,0.53
"06439010",97.22,97.22,96.67,86.67,86.02,83.89,40.83,39.16,30.90,20.90,0.24,0.24,97.22,97.22,96.67,86.67,86.02,83.89,40.83,39.16,30.90,20.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.24
"06439011",99.85,99.85,99.85,99.84,99.84,99.82,98.97,98.94,97.97,97.82,97.82,92.75,99.25,99.25,99.25,99.25,99.18,99.03,95.67,95.22,92.82,75.96,97.12,97.12,97.12,97.12,97.12,97.12,97.12,97.12,97.12,97.12,97.12,92.05,2.76,2.76,2.76,2.76
"06439012",99.83,99.83,99.83,99.67,99.67,99.67,99.07,99.07,98.51,94.59,82.89,0.17,99.83,99.83,99.83,99.46,99.46,98.84,98.24,98.06,95.85,85.82,82.73,82.73,82.73,82.73,82.73,82.73,82.73,82.73,82.73,82.73,82.73,0.00,0.17,0.17,0.17,0.17
"06439013",99.65,99.65,99.65,99.65,99.65,99.65,99.47,99.47,99.30,99.12,94.50,38.09,99.65,99.65,99.65,99.65,99.65,99.65,99.47,98.80,97.18,79.34,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,94.50,36.73,2.50,2.50,2.50,2.50
"06439014",100.00,100.00,98.46,95.24,94.86,94.48,66.22,66.22,63.44,50.97,22.43,18.44,100.00,100.00,90.15,86.31,85.89,84.88,56.61,56.61,53.34,40.86,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,18.44,0.00,0.00,0.00,0.00
"06439015",100.00,100.00,99.91,99.85,99.85,99.80,99.33,99.19,98.69,93.21,77.84,65.51,100.00,100.00,99.84,99.73,99.73,99.73,99.26,99.00,97.90,82.79,77.34,77.34,77.34,77.34,77.34,77.34,77.34,77.34,77.34,77.34,77.34,65.00,1.11,1.11,1.11,1.11
"07141134",100.00,100.00,75.00,75.00,75.00,75.00,75.00,75.00,0.00,0.00,0.00,0.00,100.00,100.00,75.00,75.00,75.00,75.00,75.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
