"AGS";"alle Technologien ≥ 1 Mbit/s";"alle Technologien ≥ 2 Mbit/s";"alle Technologien ≥ 6 Mbit/s";"alle Technologien ≥ 16 Mbit/s";"alle Technologien ≥ 30 Mbit/s";"alle Technologien ≥ 50 Mbit/s";"alle Technologien ≥ 100 Mbit/s";"alle Technologien ≥ 200 Mbit/s";"alle Technologien ≥ 400 Mbit/s";"alle Technologien ≥ 1000 Mbit/s";"leitungsg. Technologien ≥ 1 Mbit/s";"leitungsg. Technologien ≥ 2 Mbit/s";"leitungsg. Technologien ≥ 6 Mbit/s";"leitungsg. Technologien ≥ 16 Mbit/s";"leitungsg. Technologien ≥ 30 Mbit/s";"leitungsg. Technologien ≥ 50 Mbit/s";"leitungsg. Technologien ≥ 100 Mbit/s";"leitungsg. Technologien ≥ 200 Mbit/s";"leitungsg. Technologien ≥ 400 Mbit/s";"leitungsg. Technologien ≥ 1000 Mbit/s";"mobile Technologien ≥ 1 Mbit/s";"mobile Technologien ≥ 2 Mbit/s";"mobile Technologien ≥ 6 Mbit/s";"DSL ≥ 1 Mbit/s";"DSL ≥ 2 Mbit/s";"DSL ≥ 6 Mbit/s";"DSL ≥ 16 Mbit/s";"DSL ≥ 30 Mbit/s";"DSL ≥ 50 Mbit/s";"DSL ≥ 100 Mbit/s";"DSL ≥ 200 Mbit/s";"CATV ≥ 1 Mbit/s";"CATV ≥ 2 Mbit/s";"CATV ≥ 6 Mbit/s";"CATV ≥ 16 Mbit/s";"CATV ≥ 30 Mbit/s";"CATV ≥ 50 Mbit/s";"CATV ≥ 100 Mbit/s";"CATV ≥ 200 Mbit/s";"CATV ≥ 400 Mbit/s";"CATV ≥ 1000 Mbit/s";"FTTH/B ≥ 100 Mbit/s";"FTTH/B ≥ 200 Mbit/s";"FTTH/B ≥ 400 Mbit/s";"FTTH/B ≥ 1000 Mbit/s"
"09675127";100;100;99;88.17;84.06;62;47.98;12;5;5;97.75;97.54;93.26;87.99;84.06;62;47.98;12;5;5;88.37;88.28;86.40;96.66;96.45;92.17;87.99;84.06;62;47.98;12;0;0;0;0;0;0;0;0;0;0;5;5;5;5
"09675131";100;100;100;100;98.10;97.67;88.31;19.83;1.64;1.64;99;99;99;98.10;98.10;97.67;88.31;19.83;1.64;1.64;100.00;100.00;99.84;99;99;99;98.10;98.10;97.67;88.31;19.83;0;0;0;0;0;0;0;0;0;0;1.64;1.64;1.64;1.64
"09675139";100;100;100;97.62;96.97;94.32;79.61;47.44;1.32;1.32;100;100;99.05;97.62;96.97;94.32;79.61;47.44;1.32;1.32;90.78;90.68;89.17;100;100;99.05;97.62;96.97;94.32;79.61;47.44;0;0;0;0;0;0;0;0;0;0;1.32;1.32;1.32;1.32
"09675141";100;100;100;99.02;98.77;98.41;92.90;89.05;88.27;1;100;100;100;99;98.77;98.41;92.90;89.05;88.27;1;100.00;100.00;99.99;100;100;100;98.01;97.61;95.97;76.00;29.65;88.12;88.12;88.12;88.12;88.12;88.12;88.12;88.12;88.12;0;1;1;1;1
"09675142";100;100;100;97;96.68;96.68;84.45;24.15;0.42;0.42;100;100;99;97;96.68;96.68;84.45;24.15;0.42;0.42;100.00;100.00;100.00;100;100;99;97;96.68;96.68;84.45;24.15;0;0;0;0;0;0;0;0;0;0;0.42;0.42;0.42;0.42
"09675144";100;100;100;98;96.39;95.70;89.29;72.58;64.77;0.58;100;100;99.34;98;96.39;95.70;89.29;72.58;64.77;0.58;100.00;100.00;100.00;99.60;99.60;99.25;97.46;95.49;94.43;77.81;34.47;64.19;64.19;64.19;64.19;64.19;64.19;64.19;64.19;64.19;0;0.58;0.58;0.58;0.58
"09675146";100;100;100;100;97.42;89.05;87.91;83.21;82.24;0;100;100;100;99.37;97.42;89.05;87.91;83.21;82.24;0;100.00;100.00;91.17;100;100;100;99.15;97;79.69;66.99;29.82;82.24;82.24;82.24;82.24;82.24;82.24;82.24;82.24;82.24;0;0;0;0;0
"09675147";100;100;100;99;99;99;77.33;49.49;1.27;1.27;100;100;100;99;99;99;77.33;49.49;1.27;1.27;99.54;89.92;87.59;100;100;100;98.04;96.67;94.19;77.33;49.49;98;98;98;98;98;98;0;0;0;0;1.27;1.27;1.27;1.27
"09675148";100;100;100;99;98;94.03;75.90;17.43;1.49;1.49;100;100;99.02;99;98;94.03;75.90;17.43;1.49;1.49;100.00;100.00;100.00;100;100;99.02;99;98;94.03;75.90;17.43;0;0;0;0;0;0;0;0;0;0;1.49;1.49;1.49;1.49
"09675149";100;100;100;99.30;98.15;81.87;65.85;27;0.08;0.08;99.30;99.30;99.30;99.30;98.15;81.87;65.85;27;0.08;0.08;99.31;85.85;79.98;99.30;99.30;99.30;99.30;98.15;81.87;65.85;27;0;0;0;0;0;0;0;0;0;0;0.08;0.08;0.08;0.08
"09675150";100;100;99.07;97.26;96;67;51.70;0;0;0;98;98;98;97.26;96;67;51.70;0;0;0;94.64;94.17;64.33;98;98;98;97.26;96;67;51.70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"09675155";100;100;100;100;96.30;96.04;88.13;0;0;0;96.56;96.56;96.30;96.30;96.30;96.04;88.13;0;0;0;100.00;100.00;100.00;96.56;96.56;96.30;96.30;96.30;96.04;88.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"09675156";100;100;100;99;99;99;86.17;58.71;0;0;100;100;99;99;99;99;86.17;58.71;0;0;100.00;100.00;100.00;100;100;98.36;96.95;96.76;96.33;86.17;58.71;99;99;99;99;99;99;0;0;0;0;0;0;0;0
"09675158";100;100;100;97;92.15;90.97;73.03;22.28;1.23;1.23;94.40;94.07;93.37;92.80;92.15;90.97;73.03;22.28;1.23;1.23;93.97;93.90;90.96;94.40;94.07;93.37;92.80;92.15;90.97;73.03;22.28;0;0;0;0;0;0;0;0;0;0;1.23;1.23;1.23;1.23
"09675161";100;100;100;99.60;98.45;98.25;90.06;33.98;3.49;3.49;100;100;100;99.60;98.45;98.25;90.06;33.98;3.49;3.49;100.00;100.00;98.52;100;100;100;99.60;98.45;98.25;90.06;33.98;0;0;0;0;0;0;0;0;0;0;3.49;3.49;3.49;3.49
"09675162";100;100;100;95.26;95.02;93.76;59.60;2.10;0;0;99.73;99.73;99.73;95.26;95.02;93.76;59.60;2.10;0;0;100.00;100.00;100.00;99.73;99.73;99.73;95.26;95.02;93.76;59.60;2.10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"09675165";100;100;100;99.16;98.48;87.82;73.40;38.64;5.20;5.20;100;100;100;99.16;98.48;87.82;73.40;38.64;5.20;5.20;100.00;100.00;100.00;100;100;100;99.16;98.48;87.82;73.40;38.64;0;0;0;0;0;0;0;0;0;0;5.20;5.20;5.20;5.20
"09675166";100;100;100;98.03;98.03;98.03;77.71;1.09;0;0;100;100;99.19;98.03;98.03;98.03;77.71;1.09;0;0;100.00;100.00;100.00;100;100;99.19;98.03;98.03;98.03;77.71;1.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"09675167";100;100;100;96;95.19;81.53;70.11;49.25;0;0;99.78;99.78;99.78;96;95.19;81.53;70.11;49.25;0;0;64.67;59.10;56.74;99.78;99.78;99.78;96;95.19;81.53;70.11;49.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
