"AGS","leitungsg. Technologien ≥ 1 Mbit/s","leitungsg. Technologien ≥ 2 Mbit/s","leitungsg. Technologien ≥ 6 Mbit/s","leitungsg. Technologien ≥ 16 Mbit/s","leitungsg. Technologien ≥ 30 Mbit/s","leitungsg. Technologien ≥ 50 Mbit/s","leitungsg. Technologien ≥ 100 Mbit/s","leitungsg. Technologien ≥ 200 Mbit/s","leitungsg. Technologien ≥ 400 Mbit/s","leitungsg. Technologien ≥ 1000 Mbit/s","DSL ≥ 1 Mbit/s","DSL ≥ 2 Mbit/s","DSL ≥ 6 Mbit/s","DSL ≥ 16 Mbit/s","DSL ≥ 30 Mbit/s","DSL ≥ 50 Mbit/s","DSL ≥ 100 Mbit/s","DSL ≥ 200 Mbit/s","CATV ≥ 1 Mbit/s","CATV ≥ 2 Mbit/s","CATV ≥ 6 Mbit/s","CATV ≥ 16 Mbit/s","CATV ≥ 30 Mbit/s","CATV ≥ 50 Mbit/s","CATV ≥ 100 Mbit/s","CATV ≥ 200 Mbit/s","CATV ≥ 400 Mbit/s","CATV ≥ 1000 Mbit/s","FTTH/B ≥ 1000 Mbit/s"
"06634001",99.50,98.12,81.86,57.68,14.85,14.85,5.83,5.68,5.68,2.80,98.22,96.22,81.46,14.99,11.33,11.33,2.23,2.08,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,2.80,0.00
"16067009",99.50,99.50,97.51,97.51,97.51,78.89,67.78,0.00,0.00,0.00,90.00,90.00,78.89,78.89,78.89,78.89,67.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"08237040",99.50,99.50,96.56,94.89,92.41,92.03,51.55,40.02,38.88,0.32,98.20,98.11,95.62,93.95,91.48,91.09,46.19,23.39,38.56,38.56,38.56,38.56,38.56,38.56,38.56,38.56,38.56,0.00,0.32
"08235085",99.51,99.51,98.04,96.49,93.95,93.95,83.31,79.99,72.76,0.75,99.51,99.51,98.04,96.49,88.49,88.28,74.95,60.80,72.76,72.76,72.76,72.76,72.76,72.76,72.76,72.76,72.76,0.00,0.75
"08225109",99.51,99.51,99.51,98.53,97.11,86.20,67.40,29.12,29.12,0.00,99.51,99.51,99.51,98.53,97.11,86.20,66.56,5.72,29.12,29.12,29.12,29.12,29.12,29.12,29.12,29.12,29.12,0.00,0.00
"08136033",99.51,98.90,83.66,77.56,67.81,67.81,45.63,45.63,45.63,4.18,99.16,82.93,68.78,56.76,25.05,19.20,0.00,0.00,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,45.63,0.00,4.18
"05970044",99.51,99.51,99.51,99.51,99.51,97.69,83.38,71.84,53.75,46.02,99.51,99.51,99.51,97.06,97.06,94.75,79.52,66.26,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,11.78,3.19,42.83
"06531009",99.51,99.51,99.51,99.51,98.93,96.77,67.12,20.79,0.00,0.00,99.51,99.51,99.51,99.51,98.93,96.77,67.12,20.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"09181122",99.51,99.51,99.51,93.99,88.90,86.84,30.79,2.94,0.00,0.00,99.51,99.51,99.51,93.99,88.90,86.84,30.79,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"05754036",99.51,99.51,97.82,96.91,95.49,95.49,91.20,76.17,7.67,0.00,99.51,99.51,97.82,96.70,95.49,95.49,91.20,76.09,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,0.00,0.00
"05362032",99.51,99.11,98.50,98.11,98.07,98.07,30.47,30.47,30.47,17.01,99.51,99.11,98.34,98.11,98.07,98.07,0.00,0.00,30.47,30.47,30.47,30.47,30.47,30.47,30.47,30.47,30.47,17.01,0.00
"12052000",99.52,99.23,98.20,96.94,95.09,94.24,87.00,78.15,71.51,24.77,98.48,98.39,93.29,90.46,89.18,87.88,76.11,54.09,68.93,68.93,68.93,68.93,68.93,68.93,68.93,68.93,68.93,15.66,10.97
"03241012",99.52,99.52,98.06,97.60,96.68,94.29,90.03,59.08,56.44,0.46,99.08,98.21,96.00,95.43,94.51,92.01,79.52,23.36,56.44,56.44,56.44,56.44,56.44,56.44,56.44,56.44,56.44,0.00,0.46
"13071033",99.52,95.65,95.65,91.56,66.06,65.79,25.08,5.06,0.00,0.00,99.52,95.65,95.65,87.80,66.06,65.79,25.08,5.06,6.96,6.96,6.96,6.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"03156011",99.52,99.52,99.52,94.55,92.96,88.30,72.39,50.01,30.55,30.55,99.52,99.52,99.52,94.55,92.90,88.24,69.74,35.80,30.55,30.55,30.55,30.55,30.55,30.55,30.55,30.55,30.55,30.55,0.00
"12073452",99.53,99.53,99.51,98.01,97.63,96.87,89.23,52.46,7.62,0.00,99.17,99.17,98.78,98.01,97.63,96.87,89.23,50.06,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,0.00,0.00
"08116080",99.53,99.52,99.52,99.52,99.14,93.38,85.72,80.33,77.72,43.92,99.41,99.41,99.41,99.41,99.04,86.77,84.18,75.62,47.88,47.88,47.88,47.88,47.88,47.88,47.88,47.88,47.88,0.00,43.92
"03256030",99.53,99.53,91.98,25.57,17.14,12.19,1.75,0.86,0.00,0.00,91.51,90.98,83.44,17.03,8.59,3.64,1.75,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"08231000",99.53,97.98,95.13,90.22,89.41,89.25,84.18,68.31,65.70,2.91,93.25,89.95,80.39,78.44,77.66,77.41,72.00,33.12,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,0.00,2.91
"10041517",99.54,99.21,99.21,99.09,97.20,89.67,80.49,73.86,71.04,71.04,93.01,86.51,86.51,82.89,82.89,82.89,80.00,64.16,71.04,71.04,71.04,71.04,71.04,71.04,71.04,71.04,71.04,71.04,0.00
"06438005",99.54,99.54,99.54,98.80,95.74,95.74,95.46,87.31,86.79,17.29,98.80,98.80,98.61,97.75,88.32,88.32,74.20,20.66,78.31,78.31,78.31,78.31,78.31,78.31,78.31,78.31,78.31,0.00,17.29
"15087220",99.54,96.64,96.42,90.79,90.69,90.59,88.55,86.51,56.03,56.03,96.23,94.61,94.48,90.79,90.69,89.67,82.52,66.29,31.53,31.53,31.53,31.53,31.53,31.53,31.53,31.53,0.00,0.00,56.03
