"AGS";"Technologie";"Flaechenart";"Flaechen Gruppe";"Flaechen Gruppe Name";"Verfügbarkeit"
"13071";Mobil Alle;Kreisstraßen;30;Infrastruktur;100.00
"13071";Mobil Alle;Landstraßen;30;Infrastruktur;100.00
"13071";Mobil Alle;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13071";Mobil Alle;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"13071";Mobil Alle;Wasserstraßen;30;Infrastruktur;100.00
"13071";Mobil Alle;Wohnbaufläche;20;Gemeindefläche;100.00
"13072";"5G2";Autobahn;30;Infrastruktur;54.05
"13072";"5G2";Bahnstrecken;30;Infrastruktur;53.03
"13072";"5G2";Bundesstraßen;30;Infrastruktur;63.56
"13072";"5G2";Gewässer;20;Gemeindefläche;30.18
"13072";"5G2";Gewerbliche Nutzfläche;20;Gemeindefläche;59.29
"13072";"5G2";Kreisstraßen;30;Infrastruktur;32.00
"13072";"5G2";Landstraßen;30;Infrastruktur;47.31
"13072";"5G2";Landwirtschaftliche Flächen;20;Gemeindefläche;37.40
"13072";"5G2";Wald-, Wiesenflächen;20;Gemeindefläche;17.77
"13072";"5G2";Wasserstraßen;30;Infrastruktur;39.28
"13072";"5G2";Wohnbaufläche;20;Gemeindefläche;83.17
"13072";LTE10;Autobahn;30;Infrastruktur;100.00
"13072";LTE10;Bahnstrecken;30;Infrastruktur;100.00
"13072";LTE10;Bundesstraßen;30;Infrastruktur;100.00
"13072";LTE10;Gewässer;20;Gemeindefläche;100.00
"13072";LTE10;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13072";LTE10;Kreisstraßen;30;Infrastruktur;100.00
"13072";LTE10;Landstraßen;30;Infrastruktur;100.00
"13072";LTE10;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13072";LTE10;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"13072";LTE10;Wasserstraßen;30;Infrastruktur;100.00
"13072";LTE10;Wohnbaufläche;20;Gemeindefläche;100.00
"13072";LTE2;Autobahn;30;Infrastruktur;100.00
"13072";LTE2;Bahnstrecken;30;Infrastruktur;100.00
"13072";LTE2;Bundesstraßen;30;Infrastruktur;100.00
"13072";LTE2;Gewässer;20;Gemeindefläche;100.00
"13072";LTE2;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13072";LTE2;Kreisstraßen;30;Infrastruktur;100.00
"13072";LTE2;Landstraßen;30;Infrastruktur;100.00
"13072";LTE2;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13072";LTE2;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"13072";LTE2;Wasserstraßen;30;Infrastruktur;100.00
"13072";LTE2;Wohnbaufläche;20;Gemeindefläche;100.00
"13072";LTE6;Autobahn;30;Infrastruktur;100.00
"13072";LTE6;Bahnstrecken;30;Infrastruktur;100.00
"13072";LTE6;Bundesstraßen;30;Infrastruktur;100.00
"13072";LTE6;Gewässer;20;Gemeindefläche;100.00
"13072";LTE6;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13072";LTE6;Kreisstraßen;30;Infrastruktur;100.00
"13072";LTE6;Landstraßen;30;Infrastruktur;100.00
"13072";LTE6;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13072";LTE6;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"13072";LTE6;Wasserstraßen;30;Infrastruktur;100.00
"13072";LTE6;Wohnbaufläche;20;Gemeindefläche;100.00
"13072";Mobil Alle;Autobahn;30;Infrastruktur;100.00
"13072";Mobil Alle;Bahnstrecken;30;Infrastruktur;100.00
"13072";Mobil Alle;Bundesstraßen;30;Infrastruktur;100.00
"13072";Mobil Alle;Gewässer;20;Gemeindefläche;100.00
"13072";Mobil Alle;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"13072";Mobil Alle;Kreisstraßen;30;Infrastruktur;100.00
"13072";Mobil Alle;Landstraßen;30;Infrastruktur;100.00
"13072";Mobil Alle;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"13072";Mobil Alle;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"13072";Mobil Alle;Wasserstraßen;30;Infrastruktur;100.00
"13072";Mobil Alle;Wohnbaufläche;20;Gemeindefläche;100.00
"13073";"5G2";Autobahn;30;Infrastruktur;82.35
"13073";"5G2";Bahnstrecken;30;Infrastruktur;67.22
"13073";"5G2";Bundesstraßen;30;Infrastruktur;65.52
"13073";"5G2";Gewässer;20;Gemeindefläche;55.60
"13073";"5G2";Gewerbliche Nutzfläche;20;Gemeindefläche;70.25
"13073";"5G2";Kreisstraßen;30;Infrastruktur;46.79
"13073";"5G2";Landstraßen;30;Infrastruktur;53.31
"13073";"5G2";Landwirtschaftliche Flächen;20;Gemeindefläche;50.94
"13073";"5G2";Wald-, Wiesenflächen;20;Gemeindefläche;24.00
