"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_200_1";"verf_200_2";"verf_200_6";"verf_200_16";"verf_200_30";"verf_200_50";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_16";"verf_300_30";"verf_300_50";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_plc_1";"verf_plc_2";"verf_plc_6";"verf_plc_16";"verf_plc_30";"verf_plc_50";"verf_umts_1";"verf_umts_2";"verf_lte_1";"verf_lte_2";"verf_lte_6";"verf_wlan_1";"verf_wlan_2";"verf_wlan_6";"verf_wlan_16";"verf_wlan_30";"verf_wlan_50";"verf_wimax_1";"verf_wimax_2";"verf_wimax_6";"verf_wimax_16";"verf_wimax_30";"verf_wimax_50"
"12066";97;96;94;88;81;68;98;97;96;5;0;0;99;99;99;90;81;68;96;95;92;73;59;42;5;5;5;5;5;5;59;59;59;59;53;53;0;0;0;0;0;0;87;55;96;96;94;19;19;19;5;0;0;3;3;3;0;0;0
"12067";95;95;93;88;80;68;96;95;91;21;0;0;99;99;99;90;80;68;92;91;89;84;73;58;2;2;2;2;2;2;40;40;40;40;40;40;0;0;0;0;0;0;80;44;95;95;91;21;21;21;21;0;0;2;2;2;0;0;0
"12068";96;95;95;90;78;63;95;95;93;0;0;0;99;99;99;90;78;63;96;95;95;89;73;51;0;0;0;0;0;0;35;35;35;35;35;35;0;0;0;0;0;0;74;46;95;95;93;0;0;0;0;0;0;0;0;0;0;0;0
"12069";98;97;95;90;82;70;97;97;95;2;0;0;99;99;99;90;82;70;98;97;95;89;79;66;0;0;0;0;0;0;32;32;32;32;32;32;0;0;0;0;0;0;86;49;97;97;95;2;2;2;2;0;0;2;2;2;0;0;0
"12070";95;95;94;89;78;60;96;96;95;0;0;0;99;99;99;90;78;60;95;95;94;88;76;52;1;1;1;1;1;1;31;31;31;31;31;31;0;0;0;0;0;0;74;41;96;96;95;2;2;2;0;0;0;0;0;0;0;0;0
"12071";94;92;86;77;63;54;96;90;86;8;0;0;99;99;98;84;63;54;93;91;82;69;53;42;0;0;0;0;0;0;39;39;39;39;39;39;0;0;0;0;0;0;77;45;87;87;84;20;20;20;3;0;0;5;5;5;5;0;0
"12072";98;98;98;95;87;71;97;97;96;0;0;0;99;99;99;95;87;71;98;97;97;92;81;63;4;4;4;4;4;4;29;29;29;29;29;29;0;0;0;0;0;0;84;47;97;97;96;0;0;0;0;0;0;0;0;0;0;0;0
"12073";95;95;93;86;77;63;92;92;89;0;0;0;99;99;99;86;77;63;95;95;93;82;62;45;0;0;0;0;0;0;35;35;35;35;35;35;0;0;0;0;0;0;71;43;92;92;89;0;0;0;0;0;0;0;0;0;0;0;0
"13003";100;100;100;99;98;96;100;100;100;0;0;0;100;100;100;99;98;96;100;100;100;99;93;83;0;0;0;0;0;0;89;89;89;89;89;89;0;0;0;0;0;0;100;48;100;100;99;0;0;0;0;0;0;37;37;37;0;0;0
"13004";100;100;100;99;98;96;100;100;98;0;0;0;100;100;100;99;98;96;100;100;99;98;92;85;6;6;6;6;6;6;87;87;87;87;87;87;0;0;0;0;0;0;99;42;100;100;98;0;0;0;0;0;0;0;0;0;0;0;0
"13071";92;91;85;76;70;66;96;96;92;7;0;0;99;99;97;79;70;66;91;90;84;68;56;49;2;2;2;2;2;2;53;53;53;53;52;51;0;0;0;0;0;0;77;43;95;95;92;0;0;0;0;0;0;8;8;7;7;0;0
"13072";91;90;83;66;54;46;96;96;94;1;0;0;99;99;98;67;54;46;91;90;82;60;38;29;0;0;0;0;0;0;25;25;25;25;25;25;0;0;0;0;0;0;79;45;96;96;93;1;0;0;0;0;0;13;13;11;1;0;0
"13073";94;93;86;73;67;64;97;96;95;0;0;0;99;99;98;74;67;64;93;92;84;63;54;48;11;11;11;11;11;11;55;55;55;55;55;55;0;0;0;0;0;0;86;47;96;96;95;0;0;0;0;0;0;1;1;1;0;0;0
"13074";89;88;79;66;60;53;97;97;92;1;0;0;99;99;98;66;60;53;87;86;76;60;53;44;2;2;2;2;2;2;34;34;34;34;34;34;0;0;0;0;0;0;81;38;96;96;92;6;3;3;1;0;0;0;0;0;0;0;0
"13075";94;93;88;77;70;64;95;95;92;0;0;0;99;99;97;77;70;64;93;92;86;66;55;44;18;18;18;18;18;18;54;54;54;54;53;53;0;0;0;0;0;0;82;49;94;94;92;0;0;0;0;0;0;0;0;0;0;0;0
"13076";88;87;82;68;64;59;96;96;93;1;0;0;99;99;98;68;64;59;83;82;74;57;48;41;13;13;13;13;13;13;26;26;26;26;26;26;0;0;0;0;0;0;72;40;95;95;93;3;2;1;0;0;0;2;2;1;1;0;0
"14511";99;99;96;90;81;80;100;100;99;1;0;0;100;100;100;90;81;80;98;96;88;69;34;29;36;36;36;36;36;36;68;68;68;68;68;68;0;0;0;0;0;0;99;38;100;100;99;1;1;1;1;0;0;0;0;0;0;0;0
"14521";92;91;83;70;64;59;97;94;91;1;0;0;99;99;98;70;64;59;87;85;74;52;39;34;10;10;10;10;10;10;42;42;42;41;39;37;0;0;0;0;0;0;88;41;93;93;91;1;1;1;1;0;0;0;0;0;0;0;0
"14522";90;88;82;65;53;47;99;98;96;7;0;0;99;99;99;68;53;47;87;85;76;52;34;26;0;0;0;0;0;0;29;29;29;27;27;27;0;0;0;0;0;0;86;37;98;98;95;10;10;9;3;0;0;8;8;8;4;0;0
"14523";92;92;89;76;64;57;98;98;96;2;2;1;99;99;99;78;65;58;92;92;89;72;53;43;0;0;0;0;0;0;36;36;36;36;36;36;0;0;0;0;0;0;86;40;98;98;96;2;2;2;2;2;1;0;0;0;0;0;0
