AGS,year,n_rows,prev_year_max,next_year_max,dropped
07232294,2010,2,NA,0,TRUE
07232294,2011,2,0,0,TRUE
07232294,2012,2,0,1.28,TRUE
07232308,2010,2,NA,0,TRUE
07232308,2011,2,0,1,TRUE
07232310,2010,2,NA,0,TRUE
07232310,2011,2,0,0,TRUE
07232310,2012,2,0,12.5,TRUE
07232315,2010,2,NA,0,TRUE
07232315,2011,2,0,78,TRUE
07232320,2010,2,NA,7,TRUE
07232327,2010,2,NA,86,TRUE
07232331,2010,2,NA,86,TRUE
07233002,2010,2,NA,62,TRUE
07233003,2010,2,NA,30,TRUE
07233008,2011,2,2,99,TRUE
07233010,2010,2,NA,96,TRUE
07233019,2010,2,NA,93,TRUE
07233037,2011,2,56,22,TRUE
07233041,2010,2,NA,98,TRUE
07233050,2010,2,NA,0,TRUE
07233050,2011,2,0,100,TRUE
07233054,2010,2,NA,8,TRUE
07233061,2010,2,NA,4,TRUE
07233080,2010,2,NA,7,TRUE
07233222,2011,2,7,0,TRUE
07233222,2012,2,0,100,TRUE
07233243,2010,2,NA,0,TRUE
07233243,2011,2,0,0,TRUE
07233243,2012,2,0,77.78,TRUE
07235025,2010,2,NA,5,TRUE
07235033,2010,2,NA,0,TRUE
07235033,2011,2,0,1,TRUE
07235101,2010,2,NA,0,TRUE
07235101,2011,2,0,0,TRUE
07235101,2012,2,0,0,TRUE
07235101,2013,3,0,0,TRUE
07235101,2014,3,0,11.29,TRUE
07235154,2010,2,NA,0,TRUE
07235154,2011,2,0,0,TRUE
07235154,2012,2,0,0,TRUE
07235154,2013,3,0,0,TRUE
07235154,2014,3,0,48.46,TRUE
07235207,2010,2,NA,0,TRUE
07235207,2011,2,0,0,TRUE
07235207,2012,2,0,0,TRUE
07235207,2013,3,0,0,TRUE
07235207,2014,3,0,99.39,TRUE
07235501,2010,2,NA,0,TRUE
07235501,2011,2,0,0,TRUE
07235501,2012,2,0,0,TRUE
07235501,2013,3,0,0,TRUE
07235501,2014,3,0,96.52,TRUE
07311000,2010,2,NA,0,TRUE
07311000,2011,2,0,0,TRUE
07311000,2012,2,0,0,TRUE
07311000,2013,3,0,0,TRUE
07311000,2014,3,0,100,TRUE
07312000,2010,2,NA,0,TRUE
07312000,2011,2,0,0,TRUE
07312000,2012,2,0,0,TRUE
07312000,2013,3,0,0,TRUE
07312000,2014,3,0,99.95,TRUE
07313000,2010,2,NA,0,TRUE
07313000,2011,2,0,0,TRUE
07313000,2012,2,0,0,TRUE
07313000,2013,3,0,0,TRUE
07313000,2014,3,0,99.93,TRUE
07314000,2010,2,NA,0,TRUE
07314000,2011,2,0,0,TRUE
07314000,2012,2,0,0,TRUE
07314000,2013,3,0,0,TRUE
07314000,2014,3,0,100,TRUE
07315000,2010,2,NA,0,TRUE
07315000,2011,2,0,0,TRUE
07315000,2012,2,0,0,TRUE
07315000,2013,3,0,0,TRUE
07315000,2014,3,0,100,TRUE
07316000,2010,2,NA,0,TRUE
07316000,2011,2,0,0,TRUE
07316000,2012,2,0,0,TRUE
07316000,2013,3,0,0,TRUE
07316000,2014,3,0,99.87,TRUE
07317000,2010,2,NA,0,TRUE
07317000,2011,2,0,0,TRUE
07317000,2012,2,0,0,TRUE
07317000,2013,3,0,0,TRUE
07317000,2014,3,0,100,TRUE
07318000,2010,2,NA,0,TRUE
07318000,2011,2,0,0,TRUE
07318000,2012,2,0,0,TRUE
07318000,2013,3,0,0,TRUE
07318000,2014,3,0,100,TRUE
07319000,2010,2,NA,0,TRUE
07319000,2011,2,0,0,TRUE
07319000,2012,2,0,0,TRUE
07319000,2013,3,0,0,TRUE
07319000,2014,3,0,99.85,TRUE
07320000,2010,2,NA,0,TRUE
07320000,2011,2,0,0,TRUE
07320000,2012,2,0,0,TRUE
07320000,2013,3,0,0,TRUE
07320000,2014,3,0,99.99,TRUE
07331001,2010,2,NA,0,TRUE
07331001,2011,2,0,0,TRUE
07331001,2012,2,0,0,TRUE
07331001,2013,3,0,0,TRUE
07331001,2014,3,0,100,TRUE
07331002,2010,2,NA,0,TRUE
07331002,2011,2,0,0,TRUE
07331002,2012,2,0,0,TRUE
