AGS;100_1;100_2;100_6;100_16;100_30;100_50;200_1;200_2;200_6;200_16;200_30;200_50
08215007;100;98;93;73;46;42;100;100;95;82;0;0
07232006;98;98;98;98;98;52;4;4;4;0;0;0
09779138;99;99;99;99;99;76;48;48;35;0;0;0
07340006;78;78;78;78;78;68;3;3;3;0;0;0
05978016;100;100;99;98;97;96;100;100;98;0;0;0
14625020;100;100;99;97;95;92;100;100;98;0;0;0
01058057;86;21;10;6;5;4;100;100;100;0;0;0
07132201;97;97;97;97;97;97;100;100;100;0;0;0
06434006;100;100;100;100;98;98;100;99;99;93;77;77
01057090;74;72;56;51;49;44;100;100;97;76;71;71
05962008;92;87;53;19;18;18;99;99;95;0;0;0
01061049;100;100;100;99;98;98;100;100;100;0;0;0
14523020;99;99;95;71;36;28;99;99;98;0;0;0
01053136;99;99;99;98;98;98;100;100;100;0;0;0
09190160;97;97;92;82;73;20;53;53;51;0;0;0
14523030;4;4;4;4;4;4;97;97;82;0;0;0
01054001;84;84;79;73;71;66;100;100;100;0;0;0
07331009;99;99;99;99;99;99;100;100;99;0;0;0
03151029;95;95;94;80;76;62;93;93;93;0;0;0
12071294;76;60;44;9;9;8;90;90;90;76;0;0
09574155;100;94;90;85;60;56;94;94;94;0;0;0
16077049;99;99;99;99;99;41;100;100;100;0;0;0
03255019;98;98;98;98;98;98;100;100;100;0;0;0
01055037;70;67;25;21;20;19;100;100;99;0;0;0
06635020;98;96;90;88;86;85;97;90;83;0;0;0
03255015;99;99;69;69;69;69;100;100;100;0;0;0
08226036;100;100;100;100;99;99;100;100;100;0;0;0
06636004;98;98;96;89;33;18;86;86;71;0;0;0
05382020;99;99;99;95;89;70;100;99;99;15;5;0
01057071;75;75;59;50;34;9;71;71;52;0;0;0
07133058;93;93;93;93;93;93;91;91;91;7;0;0
01062087;98;98;98;98;98;98;100;100;95;0;0;0
09773116;99;99;99;99;99;87;100;100;99;0;0;0
07336014;100;82;30;30;30;30;100;100;100;0;0;0
13076137;100;100;100;100;100;100;100;100;100;98;0;0
03351001;97;97;97;85;76;68;100;100;100;29;27;27
05554064;99;99;96;91;89;87;100;100;100;57;0;0
